Recipient,Amount
0xa68929da232b5dc3a1af99fb413da87619d6f57f,5200984.81
0xf7bc5c82a19bb65fa866be5e7f318ff30c1d216e,3024622.42
0x2b5213573f0e4ecd7c71d72adb7581ffad38efd3,1932853.32
0x78525db4edbc108312dd49a09ab435f8887b2632,1919368.56
0xdad14af6d2de5939becd48483b360cd16fafa858,1902244.45
0x9eaac58e04c05ef30c10fc0875a5a1467cd57669,1858707.17
0xb81bfe9503e80e88914ee58aff557e984bcd0aa4,1683852.16
0x34b898ddc9771923200bd3c96f29c4b11732e9db,1681544.94
0x1a0e2c37a719acdb37e9de73d474b58876c3aced,1600233.61
0x1a3ffd0c7541b1598743190c9e4f9a351b9edbbf,1593414.74
0x05496b68b9a0fe3bcdddadab74ca997cc738dda2,1546576.94
0xae674e38768f9d9480b402628e97591284026a58,1458448.27
0xeca41d5f0744aa56c291fca06529bd9a99e96c20,1428793.62
0x82cfde651bdcef1023bf3be7a31df9d4db5f2d39,1394695.84
0x437f1137c72014183639b58d77404985e2a8cd74,1273799.89
0x47317f379f22b68ea235a252f7150881ecc4b08d,1223722.9
0xf54533710a0a53b95f476d173bb519a0a2d970d3,1215531.7
0xcc04bcb58b688fabbb60ae013e56047251aebddf,1184147.64
0x2749d911cd7d2651f6351c5d18d00ea75157fb61,1163783.51
0x18c0a7d0c7cdb069a7b61c80c7be173c9ee56f68,1139496.11
0xbe998dc6ab07ab2bb1b7104ffcc94b1219aebef4,1117820.48
0x86b409a8b2e8cb1745cdec543c0efc6391e55160,1103563.23
0x61959dece6febf9483317e0acc29f4cdfd40eb5e,1065171.58
0x48bd340459543fe3d5e0161a9b48bee6df37eb82,1046445.97
0xebb73c8a8d584258bebcfb1762007652bfe85f81,1022835.16
0x8d53c491c3e874af068fd81304246b34464d550e,959226.52
0xcc4809f05d9d46ca97ba23a3359c9a002589008b,925416.76
0x8d80526b91faa51d9bd8a1f6512fe923c8056a43,893255.86
0xc0f9cfa221ef07587a2c1e21df81e2867e67d129,890032.74
0xb127c6af1d9ee48eb1b519badf418434ee140113,865686.77
0x8ee5399ad369635d28f845a78e144845af94b547,840140.4
0x39ccaf1363c161c23d0437592ec281313b91f0ac,839774.46
0xaaff0d93c08737a62e3ba5110dce72511f080a0a,818072.19
0xb0b7328ed9a6f464147c83cf878e1dd0e5b8389a,815522.84
0xe6f205bf28f129a4127b78428618576096a8934d,811599.32
0x96c5d1e5824db3402afc3846d4ed401a3f8caeea,794274.8
0x4ca10500499ceef72c01dd2ef049d05299039689,791421.26
0xac6f62e95440252c20392b8d863acdec99c590b4,784388.9
0xf6ba2e964d6fbf3ffd43acb3215649200742bce3,754507.96
0x0ec397475838c0abdefa25eced7c7b7e8322326a,746050.22
0x3223cff938c3406838fc0486a99cf350d36a5977,743683.84
0x8bce7aee2a625920bf9ee862332418895bcf848c,742925.58
0x6c86fd862ea9e33aa2cee008787b315ae0f608b5,741089.75
0xa3e5e72c960ef2a3459ee38ee5c8de9d7a0327fd,708749.53
0x7e53552b427a777c38062e3977bae789afd2a8df,701562.27
0xd516f992b8dab074e53858d39acfc322eadb3668,699032.4
0x06633289dc85e7350b74bd7cc7c6f6780066619b,687879.03
0x995b9d6732caef041b51d112a5b075e8266358ec,686304.18
0x8f79a073cf5829d6fc9970f6267e27ce0dfa7aa8,683972.96
0xc4fa255694315223444e5b2c2b06a712b6ebb336,670449.93
0x985b6913277934a70f2f12cf220270e13189c624,649916.37
0x9231a1b7e034658652c9643b5d6de7ad1173398a,630107.2
0x39f1b1545771ad7c1d8d0f6c9653b5babc392017,624884.93
0xfc7b749ed1b9fa99909c523d6f1d07c4cc589e60,593103.87
0x0c8b8d66de09f6c1c0adeb6cf5f6755a62e3818a,579358.36
0x3a20acc5f1a8f6e59417bcfef62c783c6120fe33,577692.41
0x2e881bebf713c717304e7b25c989f031a06cdd09,570300.69
0x90f3fd05d578afa6fca823ee5915f5cc5076b158,569867.76
0x48f5204b2653d635595bb882d22083830e74f165,567976.92
0xfef06cd04af40434699fac88a9d41aef5626a393,558183.13
0x5c3cdfad08e460c8fc8ceae775fa869c205330e1,557415.63
0xce58e990f8d0da2db849bfc3ad58d72cef309d29,553828.52
0xfa65ca5ae415c3c82f271da9ba8cd0887ca5d14b,551582.43
0x1fe8bdc196398281e626e1316df1b45da4a0a70d,550861.25
0xc3574130c1ca1374dce032dd05f4a8a7fa3718e2,537701.73
0x63d3edf806f98e00a2d89ce108bb402942de60c6,536124.43
0x1c088fe1b5f62de6f636706d2d78ea0ac51914e0,531305.75
0x8be04567d6662b9ceb738b6ebc9654299eb48989,525356.69
0x53847bd9ded10c79a2db9cf13ae3be0289b4e9f8,521172.77
0x389dbc3f7813d9e4d53db12665a370a5321d1842,512247.21
0x3b01cc29f4ae0bc9549a9c92eba4c869450ab0eb,510179.11
0x6e7457d016995131b9cc5e6b815db3e7f6ba2927,508489.54
0x2b0be035901f99196c33f4d80cf41b8a38717093,508251.18
0x4c6b5f275635927990447b7c5c9cda592b524ca6,504500.72
0x919665fb0ca4ea19e3542902bd577d4dba59ad54,488794.29
0xdd9ea5b2f558b32a7285fb9f0ff04bd43ac77119,486840.34
0x3c8b367652f1e64a265505f2702a3cda0181d93b,484282.09
0x7ecac29a9f4c25b960be8f54b13d1d33b52c600f,483862.19
0xd58c4b300d007e37a1eb0f88d824a769685159f4,482401.7
0x57d509b906ee16275c1da4470171cf4c06a9041f,479852.52
0x6170ab6917743ecb7102787d21b08b0454fb0864,475831.82
0xd4222f89394c47f4321ca3a98a88cce596778ba0,469624.52
0x39aab394c2823362f5299977044a5c0a462a0d3f,464545.86
0x4c384207a8e5e5579dcf0fd46ea5dd3ef023fd5b,458691.83
0x154d5e468e60d1f45e2c7f34a272ac0bf3af3539,452512.06
0x44d8e6b8922bee2594160f29ed0622b7a2364d10,450096.94
0x494960d172059918c9067d50c2e0a8d951acf2eb,449178.47
0xd412457526d1f003488389d3abd8fdfe524c6a57,447523.43
0x1d89679986b141b8be1f4318ea57c109f41852ac,444513.64
0xd347ac16cb4ca90ee5557faba81a833a06d1dc4e,442322.1
0xfe823bfc8dd1f2cf54fad9d650937a7bbbed7899,439396.29
0x9670ed355557bfa14f39f25191871f652a696a9c,436136.64
